species,common_name,functional_group,trophic_group,feeding_mode,primary_food,mobility,body_size,body_form
Codium tomentosum,Velvet Horn,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Mat
Collemopsidium foveolatum,Marine Lichen,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Colpomenia,Puff-ball Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Colpomenia peregrina,Oyster-thief,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Colpomenia sinuosa,Oyster-thief,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Colus gracilis,Common Spindle,MPS,Carnivore,Predation / Scavenging,Carrion / Bivalves,Mobile,Medium,Turbinate
Conopeum,Bryozoans,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose hard
Corallina,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallina officinalis,Common Coralline,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallina officinalis,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallinaceae,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallinales,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallineae,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallinoideae,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallinophycidae,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Cordylecladia erecta,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Corella eumyota,Orange-tipped Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Ovate 
Coryphella gracilis,Slender Eolis,MPS,Carnivore,Predation / Scavenging,Carrion / Bivalves,Mobile,Medium,Turbinate
Coryphella lineata,Striped Fjordia,MPS,Carnivore,Predation / Scavenging,Carrion / Bivalves,Mobile,Medium,Turbinate
Coryphoblennius galerita,Montagu's Blenny,MG,Omnivore,Predation / Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Pisciform
Corystes cassivelaunus,Masked Crab,MPS,Carnivore,Predation,Burrowing invertebrates,Mobile,Medium,Articulate
Crangon crangon,Brown Shrimp,MPS,Omnivore,Predation / Grazing,Animal and plant material,Mobile,Medium,Articulate
Craterolophus convolvulus,Goblet Stalked Jellyfish,MPS,Carnivore,Predation  ,Small invertebrates,Mobile,Small ,Medusiform
Crepidula,Typical Slippersnails,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Turbinate
Crepidula fornicata,Common Slipper Limpet,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Turbinate
Cryptopleura ramosa,Fine-veined Crinkle Weed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Cryptopleura ruprechtiana,Grape Tongue,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Cryptosiphonia woodii,Bleached Brunette,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Cryptosula,Bryozoans,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose hard
Cryptosula pallasiana,Keyhole Bryozoan,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose hard
Ctenostomatida,Ctenostomatid Bryozoans,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose soft
Cuthonella concinna,Neat Aeolid,MPS,Carnivore,Predation,Hydroids,Mobile,Small,Vermiform unsegmented
Cylista,Elegant Anemone,SSF,Carnivore,Suspension feeding,Zooplankton / Invertebrates,Sessile,Medium,Radial
Cylista elegans,Elegant Anemone,SSF,Carnivore,Suspension feeding,Zooplankton / Invertebrates,Sessile,Medium,Radial
Cylista troglodytes,Cave-dwelling Anemone,SSF,Carnivore,Suspension feeding,Zooplankton / Invertebrates,Sessile,Small,Radial
Cymodoce truncata,Sea Slater,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Cymothoidae,Fish Isopods,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Cystoseira foeniculacea,Bushy Feather Wrack,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Dasysiphonia japonica,Siphoned Japan Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Decapoda,Decapods,MPS,Omnivore,Predation / Deposit feeding,Molluscs / Fish / Detritus,Mobile,Medium,Cylindrical
Delesseria sanguinea,Sea Beech,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Demospongiae,Demosponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Dendrodoa grossularia,Baked Bean Ascidian,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Globose
Derbesia marina,Silky Thread Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Desmarestia aculeata,Spiny Sour Weed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Desmarestia aculeata,Witch's hair,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Desmarestia ligulata,Flattened Acid Kelp,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Desmarestia viridis,Stringy Acid Kelp,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Dictyota dichotoma,Forked Ribbons,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Dictyota fasciola,Brown Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Didemnidae,Overgrowing Tunicates,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Colonial
Didemnum,Wrinkled Sea Mats,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Colonial
Didemnum maculosum,Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Colonial
Didemnum vexillum,Carpet Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Colonial
Dilsea carnosa,Red Rags,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Foliose
Diogenidae,Left-handed Hermit Crabs,MPS,Omnivore,Predation / Scavenging,Carrion,Mobile,Medium,Cylindrical
Diplosoma listerianum,Jelly Crust Tunicate,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Colonial 
Diplosoma spongiforme,Jelly-Synascidian,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Colonial 
Disporella hispida,Encrusting Bryozoan,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose hard
Doridoidea,Sea Lemons and Allies,MPS,Carnivore,Predation,Sponges,Mobile,Medium,Vermiform unsegmented
Doris berghi,Berg's Nudibranch,MPS,Carnivore,Predation,Sponges,Mobile,Small,Vermiform unsegmented
Dosinia,Artemis Clam,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Dosinia exoleta,Rayed Artemis,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Doto,Sea Slugs,MPS,Carnivore,Predation,Hydroids,Mobile,Small,Vermiform unsegmented
Doto coronata,Crowned Seaslug,MPS,Carnivore,Predation,Hydroids,Mobile,Small,Vermiform unsegmented
Dumontia contorta,Worm Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Dynamena pumila,Garland Hydroid,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Aborescent
Dynamene bidentata,Horned Isopod,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Aborescent
Dysidea fragilis,Goosebump Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose soft / Cushion
Echinogammarus marinus,Sand Shrimp,MG,Herbivore,Grazing,Macroalgae,Mobile,Small ,Cylindrical
Ectocarpales,Filamentous Brown Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Edmundsella pedata,Pink Coryphella,MPS,Carnivore,Predation,Hydroids,Mobile,Small,Cylindrical
Elachista fucicola,Tiny Wrack Bush,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Electra,Sea Mat,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Foliose
Electra pilosa,Hairy Sea-mat,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose hard
Electra pilosa,Thorny Sea Mat,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose hard
Electridae,Sea Mat,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Foliose
Ellisolandia elongata,Coralline Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Elysia viridis,Sap-sucking Slug,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Vermiform unsegmented
Emplectonema gracile,Green Ribbon Worm,MPS,Carnivore,Predation,Barnacles,Mobile,Large,Vermiform unsegmented
Emplectonema neesii,Ribbon Worm,MPS,Carnivore,Predation,Barnacles,Mobile,Large,Vermiform unsegmented
Endocladia muricata,Scouring-pad Alga,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Ensis,Razor Clam,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Ensis siliqua,Pod Razor,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Enthemonae,Sea Anemones,MPS,Carnivore,Predation,Small fish / Crustaceans,Sessile,Medium,Radial
Entoprocta,Entoprocts,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small ,Radial
Ericaria,Rainbow Wrack,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Ericaria selaginoides,Rainbow Wrack,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Ericthonius,Tube-dwelling Amphipods,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Cylindrical
Errantia,Bristle Worms,MPS,Carnivore,Predation / Scavening,Invertebrates / Carrion,Mobile,Medium,Vermiform unsegmented
Eualus cranchii,Dwarf Shrimp,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Cylindrical
Eubrachyura,Eubrachyuran Crabs,MPS,Omnivore,Predation / Grazing,Algae / Small invertebrates,Mobile,Medium,Globose
Eubranchus,Sea Slugs,MPS,Carnivore,Predation  ,Hydroids,Mobile,Medium,Vermiform unsegmented
Eubranchus exiguus,Minute Aeolis,MPS,Carnivore,Predation  ,Hydroids,Mobile,Small,Vermiform unsegmented
Eucarida,Decapods and Krill,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Small,Cylindrical
Eudesme virescens,Brown Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Eulalia,Paddle Worms,MPS,Carnivore,Predation  ,Invertebrates,Mobile,Medium,Vermiform segmented
Eulalia clavigera,Emerald Green Paddle Worm,MPS,Carnivore,Predation  ,Invertebrates,Mobile,Medium,Vermiform segmented
Eulalia viridis,Green Leaf Worm,MPS,Carnivore,Predation  ,Invertebrates,Mobile,Medium,Vermiform segmented
Eumalacostraca,"Decapods, Isopods, and allies",MPS,Omnivore,Predation / Grazing,Invertebrates / Algae / Detritus,Mobile,Medium,Cylindrical
Euryleptidae,Flatworms,MPS,Carnivore,Predation,Sea squirts,Mobile,Medium,Lanceolate
Euspira catena,Large Necklace Shell,MPS,Carnivore,Predation,Molluscs,Mobile,Small ,Globose
Euthyneura,Gastropods,MPS,Omnivore,Predation / Grazing,Algae / Sponges / Cnidarians,Mobile,Small,Cylindrical
Facelina,Sea Slugs,MPS,Carnivore,Predation,Hydroids,Mobile,Medium,Vermiform unsegmented
Facelina auriculata,Crowned Aeolis,MPS,Carnivore,Predation,Hydroids,Mobile,Small,Vermiform unsegmented
Facelina bostoniensis,Boston Facelina,MPS,Carnivore,Predation,Hydroids,Mobile,Medium,Vermiform unsegmented
Favorinus branchialis,White Aeolis,MPS,Carnivore,Predation,Eggs of other nudibranchs,Mobile,Small,Vermiform unsegmented
Flabelligera affinis,Flabby Bristle Worm,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Vermiform segmented
Florideophyceae,Florideophycean Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Flustra foliacea,Leafy Bryozoa,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose hard / foliose
Flustrellidra,Sea Mat,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Foliose
Flustrellidra hispida,Spiny Sea Mat,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose hard / foliose
Flustrina,Sea Mats,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Foliose
Fucaceae,Rockweed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Fucales,Fucoids,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Fucophycidae,Brown Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Fucus,Vesicled Rockweeds,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Fucus ceranoides,Horned Wrack,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Fucus distichus,Rockweed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Fucus serratus,Saw Wrack,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Fucus spiralis,Spiral Wrack,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Fucus vesiculosus,Bladder Wrack,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Furcellaria,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Furcellaria lumbricalis,Clawed Forked Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Gaidropsaridae,Rocklings,MPS,Omnivore,Predation / Grazing,Crustaceans / Small fish / Algae,Mobile,Large,Pisciform
Gaidropsarus,Rocklings,MPS,Omnivore,Predation / Grazing,Crustaceans / Small fish / Algae,Mobile,Large,Pisciform
Gaidropsarus mediterraneus,Shore Rockling,MPS,Omnivore,Predation / Grazing,Crustaceans / Small fish / Algae,Mobile,Large,Pisciform
Galathea,Squat Lobster ,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Cylindrical
Galathea squamifera,Black Squat Lobster,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Cylindrical
Galathea strigosa,Spiny Squat lobster,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Cylindrical
Galatheoidea,Squat Lobsters and Porcelain Crabs,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Cylindrical
Gammaridae,Shrimp,MG,Herbivore,Grazing / Deposit feeding,Algae / Biofilm / Organic sediments,Mobile,Small ,Cylindrical
Gammaridae,Shrimp,MG,Herbivore,Grazing / Deposit feeding,Algae / Biofilm / Organic sediments,Mobile,Small ,Cylindrical
Gammarus,Shrimp,MG,Herbivore,Grazing / Deposit feeding,Algae / Biofilm / Organic sediments,Mobile,Small ,Cylindrical
Gammarus locusta,Common Intertidal Amphipod,MG,Herbivore,Grazing / Deposit feeding,Algae / Biofilm / Organic sediments,Mobile,Small ,Cylindrical
Gasterosteidae,Sticklebacks,MPS,Carnivore,Predation  ,Invertebrates / Zooplankton ,Mobile,Medium,Pisciform
Gastroclonium ovatum,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small ,Aborescent
Gastropoda,Gastropods,MPS,Omnivore,Predation / Grazing,Algae / Molluscs / Hydroids,Mobile,Medium,Cylindrical
Gelidium,Jellyweeds,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small ,Aborescent
Gelidium spinosum,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Gibbula magus,Turban Topshell,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Gigartinales,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Glycymeris glycymeris,Dog Cockle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Gnathophiurina,Brittle Stars,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Radial / Stellate
Gobiidae,Gobies,MPS,Omnivore,Predation / Grazing,Crustaceans / Algae / Small Fishes,Mobile,Medium,Pisciforme
Gobioidei,Gobies and Allies,MPS,Omnivore,Predation / Grazing,Crustaceans / Algae / Small Fishes,Mobile,Medium,Pisciforme
Gobius,Gobies,MPS,Omnivore,Predation / Grazing,Crustaceans / Algae / Small Fishes,Mobile,Medium,Pisciforme
Gobius cobitis,Giant Goby,MPS,Omnivore,Predation / Grazing,Crustaceans / Algae / Small Fishes,Mobile,Large,Pisciforme
Gobius paganellus,Rock Goby,MPS,Omnivore,Predation / Grazing,Crustaceans / Algae / Small Fishes,Mobile,Medium,Pisciforme
Gongolaria baccata,Bushy Berry Wrack,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Gongolaria nodicaulis,Bushy Noduled wrack,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Gracilaria,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Gracilariaceae,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Gracilariales,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Gracilariopsis andersonii,Red Sea Spaghetti,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Grantia compressa,Purse Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Cylindrical
Grapsoidea,"Land, shore, and marsh crabs",MPS,Omnivore,Predation / Grazing,Algae / Crustaceans / Worms,Mobile,Medium,Globose
Grateloupia turuturu,Devil's Tongue Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Gymnolaemata,Naked Throat Bryozoans,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose hard
Hadziidira,Scuds,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Cylindrical
Hadzioidea,Scuds,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Cylindrical
Halacaridae,Marine Mites,MPS,Omnivore,Predation / Grazing,Invertebrates / Crustaceans,Mobile,Small,Cylindrical
Halichondria,Sea Sponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Crustose soft
Halichondria bowerbanki,Yellow Sun Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Crustose soft
Halichondria panicea,Bread-crumb Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose soft
Halichondriidae,Bread-crumb Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose soft
Haliclona cinerea,Purple Encrusting Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose soft
Haliclona indistincta,Chalinid Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose soft
Haliclona oculata,Mermaid's Glove,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Haliclystus,Stalked Jellyfish,MPS,Carnivore,Predation,Small invertebrates,Sessile,Small,Radial
Haliclystus auricula,Kaleidoscope Jelly,MPS,Carnivore,Predation,Small invertebrates,Sessile,Small,Radial
Halidrys,Brown Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Halidrys siliquosa,Sea-oak,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Halopteris,Brown Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Halopteris scoparia,Feather Boa Kelp,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Halurus,Red Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Halymeniaceae,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Hapalidiaceae,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Harmothoe,Fifteen-scaled Worms,MPS,Omnivore,Predation / Grazing,Invertebrates / Seagrass / Diatoms,Mobile,Medium,Vermiform segmented
Harmothoe clavigera,Fifteen-scaled Worms,MPS,Omnivore,Predation / Grazing,Invertebrates / Seagrass / Diatoms,Mobile,Medium,Vermiform segmented
Harmothoe extenuata,Fifteen-scaled Worms,MPS,Omnivore,Predation / Grazing,Invertebrates / Seagrass / Diatoms,Mobile,Medium,Vermiform segmented
Harmothoe imbricata,Fifteen-scaled Worms,MPS,Omnivore,Predation / Grazing,Invertebrates / Seagrass / Diatoms,Mobile,Medium,Vermiform segmented
Harmothoe impar,Bristle Worms,MPS,Omnivore,Predation / Grazing,Invertebrates / Seagrass / Diatoms,Mobile,Medium,Vermiform segmented
Hediste diversicolor,Estuary Ragworm,MPS,Omnivore,Predation / Grazing,Invertebrates / Seagrass / Diatoms,Mobile,Medium,Vermiform segmented
Hemigrapsus takanoi,Brush-clawed Shore Crab,MPS,Omnivore,Predation / Grazing,Molluscs / Algae / Detritus,Mobile,Small ,Globose
Henricia sanguinolenta,Northern Blood Star,MPS,Omnivore,Predation / Grazing,SOM / Detritus / Sponges,Mobile,Medium,Stellate
Hermaea bifida,Crimson Hermaea,MG,Herbivore,Grazing,Red algae,Mobile,Small,Vermiform unsegmented
Hesionidae,Bristle Worms,MPS,Carnivore,Predation,Small crustaceans / Invertebrates,Mobile,Medium,Vermiform segmented
Heteroconchia,Bivalve Molluscs,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Heteroscleromorpha,Sponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Massive
Heterotremata,Heterotrematan Crabs,MPS,Omnivore,Predation / Grazing,Molluscs / Algae / Detritus,Mobile,Medium,Globose
Hiatella arctica,Wrinkled Rockborer,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Hildenbrandia,Encrusting Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Hildenbrandia rubra,Rusty Rock,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Himanthalia,Brown Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Himanthalia elongata,Thongweed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Hippolyte varians,Chamaeleon Prawn,MG,Omnivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Articulate
Hyalidae,Beach Hoppers,MPS,Omnivore,Predation / Grazing,Algae / Detritus / Small animals,Mobile,Small ,Cylindrical
Hydroidolina,Hydroids,SSF,Carnivore,Suspension feeding,Zooplankton ,Sessile,Medium,Aborescent
