species,common_name,functional_group,trophic_group,feeding_mode,primary_food,mobility,body_size,body_form
Hydrozoa,Hydrozoans,MPS,Carnivore,Predation  ,Zooplankton / Fish larvae,Sessile,Small,Aborescent
Hymedesmia,Encrusting Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Hymeniacidon,Encrusting Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Massive
Hymeniacidon perlevis,Crumb-of-bread Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Massive
Hypoglossum heterocystideum,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Idotea,Isopods,MG,Herbivore,Grazing,Fucoid algae / Epiphytes,Mobile,Small,Indeterminate
Idotea balthica,Baltic Isopod,MG,Herbivore,Grazing,Fucoid algae / Epiphytes,Mobile,Small,Indeterminate
Idotea emarginata,Sea Slater,MG,Herbivore,Grazing,Fucoid algae / Epiphytes,Mobile,Small,Indeterminate
Idotea granulosa,Granular Isopod,MG,Herbivore,Grazing,Fucoid algae / Epiphytes,Mobile,Small,Indeterminate
Idotea neglecta,Marine Isopod,MG,Herbivore,Grazing,Fucoid algae / Epiphytes,Mobile,Small,Indeterminate
Imparidentia,Bivalve Molluscs,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Inachus phalangium,Leach's Spider Crab,MPS,Omnivore,Predation / Grazing,Crustaceans / Algae / Detritus,Mobile,Medium,Articulate
Isactinia olivacea,Olive Anemone,MPS,Carnivore,Predation  ,Small invertebrates ,Sessile,Medium,Polyp
Isopoda,Isopods,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Jaera,Jaera Isopods,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Jania,Red Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Jania rubens,Red Jania,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium ,Crustose hard
Janolus hyalinus,Crystal Janolus,MPS,Carnivore,Predation,Bryozoans,Mobile,Small,Vermiform unsegmented
Jassa,Tube-dwelling Amphipods,MPS,Omnivore,Predation / Grazing,Detritus / Small organisms,Mobile,Small,Articulate
Jorunna tomentosa,Velvet Dorid,MPS,Carnivore,Predation,Encrusting siliceous sponges,Mobile,Small,Vermiform unsegmented
Labrinae,North Atlantic Wrasses,MPS,Carnivore,Predation,Crustaceans / Molluscs,Mobile,Large,Pisciform
Labrus bergylta,Ballan Wrasse,MPS,Carnivore,Predation,Crustaceans / Molluscs,Mobile,Large,Pisciform
Lacuna pallidula,Pallid Lacuna,MG,Herbivore,Grazing,Periphytic microalgae,Mobile,Small ,Turbinate
Laevicardium crassum,Norwegian Egg Cockle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium ,Bivalved
Laminaria,Oarweed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Laminaria digitata,Oarweed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Laminaria hyperborea,Sea Rods,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Laminaria ochroleuca,Golden Kelp,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Laminariaceae,Oarweed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Laminariales,Kelp,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Lanice conchilega,Sand Mason Worm,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Vermiform segmented
Laurencia,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Laurencia obtusa,Rounded Brittle Fern Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Leathesia marina,Sea Cauliflower,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Mat
Leodice harassii,White Dotted Worm,MPS,Omnivore,Predation / Grazing,Invertebrates / Sediment / Detritus,Mobile,Medium,Vermiform segmented
Lepadogaster,Clingfish,MPS,Carnivore,Predation,Crustaceans,Mobile,Medium,Pisciform
Lepadogaster candolii,Connemarra Clingfish,MPS,Carnivore,Predation,Crustaceans,Mobile,Medium,Pisciform
Lepadogaster purpurea,Cornish Sucker,MPS,Carnivore,Predation,Crustaceans,Mobile,Medium,Pisciform
Lepadogastrinae,Clingfish,MPS,Carnivore,Predation,Crustaceans,Mobile,Medium,Pisciform
Lepidochitona,Chitons,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Articulate
Lepidochitona cinerea,Grey Mail-shell,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Articulate
Lepidonotus,Scale Worms,MPS,Omnivore,Predation / Grazing,Invertebrates / Seagrass,Mobile,Medium,Vermiform segmented
Lepidonotus clava,Button Scale Worm,MPS,Omnivore,Predation / Grazing,Invertebrates / Seagrass,Mobile,Medium,Vermiform segmented
Lepidonotus squamatus,Twelve-scaled Worm,MPS,Omnivore,Predation / Grazing,Invertebrates / Seagrass,Mobile,Medium,Vermiform segmented
Leptoplana,Gelatinous Flatworm,MPS,Carnivore,Predation / Deposit feeding,Invertebrates / Detritus,Mobile,Medium,Lanceolate
Leptoplana,Marine Flatworm,MPS,Carnivore,Predation / Deposit feeding,Invertebrates / Detritus,Mobile,Medium,Lanceolate
Leptoplana tremellaris,Gelatinous Flatworm,MPS,Carnivore,Predation / Deposit feeding,Invertebrates / Detritus,Mobile,Medium,Lanceolate
Leptoplanoidea,Marine Flatworm,MPS,Carnivore,Predation / Deposit feeding,Invertebrates / Detritus,Mobile,Medium,Lanceolate
Leucosolenia,Tube Sponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Cylindrical
Lichina,Black Tufted Lichen,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Ligia oceanica,Common Sea Slater,MPS,Omnivore,Predation / Grazing,Seaweed / Algae / Detritus,Mobile,Small,Cylindrical
Limacia clavigera,Orange-clubbed Sea Slug,MPS,Carnivore,Predation,Encrusting bryozoans,Mobile,Small,Vermiform unsegmented
Lineus,Bloody Ribbon Worm,MPS,Carnivore,Predation,Crustaceans / Molluscs / Worms,Mobile,Large,Vermiform unsegmented
Lineus longissimus,Bootlace Worm,MPS,Carnivore,Predation,Crustaceans / Molluscs / Worms,Mobile,Large,Vermiform unsegmented
Lipophrys,Shanny,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae,Mobile,Large,Pisciform
Lipophrys pholis,Shanny,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae,Mobile,Large,Pisciform
Lissoclinum perforatum,Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Tubicolous / Colonial
Lithophyllum,Encrusting Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Lithophyllum incrustans,Encrusting Coralline Alga,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Lithothamnion,Maerl,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Lithothamnion,Thalloid Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Lithothamnion corallioides,Maerl,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Littorina,Small Sea Snails,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Littorina fabalis,Smooth Flat Periwinkle,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Littorina littorea,Common Periwinkle,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Littorina obtusata,Flat Periwinkle,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Littorina saxatilis,Rough Periwinkle,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Littorinidae,Periwinkle Snails,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Littorininae,Periwinkle Snails,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Littorininidae,Periwinkle Snails,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Littorinoidea,Periwinkle Snails,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Littorinoidea,Periwinkle Snails and Allies,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Lomentaria,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Lomentaria articulata,Bunny Ears,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Lottiidae,Lottiid Limpets,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Conical
Lucinoma,Lucines,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Lyngbya,Mermaid's Hair,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Lysidice ninetta,Bristle Worm,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Large,Vermiform segmented
Macoma,"Tellins, Sunset Clams, and Allies",SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Small,Bivalved
Macoma balthica,Baltic Tellin,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Small,Bivalved
Macomangulus tenuis,Thin Tellin,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Small,Bivalved
Macropodia,Long-legged Spider Crabs,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae,Mobile,Small,Articulate
Macropodia rostrata,Long-legged Spider Crabs,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae,Mobile,Small,Articulate
Mactra stultorum,Rayed Trough Shell,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Maeridae,Scuds ,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Magallana gigas,Pacific Oyster,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Bivalved
Maja brachydactyla,Spiny Spider Crab,MPS,Omnivore,Predation / Grazing,Seaweeds / Molluscs / Carrion,Mobile,Medium,Articulate
Majoidea,Spider Crabs and Decorator Crabs,MPS,Omnivore,Predation / Grazing,Seaweeds / Molluscs / Carrion,Mobile,Medium,Articulate
Marthasterias glacialis,Spiny Starfish,MPS,Carnivore,Predation  ,Molluscs / Invertebrates,Mobile,Large,Radial / Stellate
Mastocarpus,Encrusting Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Foliose
Mastocarpus stellatus,False Irish Moss,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Foliose
Mazzaella splendens,Splendid Iridescent Seaweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Foliose
Melitidae,Bivalve Scuds,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Membranipora membranacea,Kelp Lace Bryozoan,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose hard
Membraniporoidea,Sea Mat,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Foliose
Membranoptera alata,Winged Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Mercenaria mercenaria,Northern Quahog,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Mesophyllum,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Mesophyllum lichenoides,Pink Plates,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Metacallophyllis laciniata,Beautiful Fan Weed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Metacallophyllis laciniata,Red Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Metacallophyllis laciniata,Red Sea Fan,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Metridioidea,Sea Anemones,MPS,Carnivore,Predation,Small fish / Crustaceans,Sessile,Medium,Radial / Globose
Metridium,Plumose Anemones,SSF,Carnivore,Suspension feeding,Zooplankton,Sessile,Medium,Radial / Globose
Metridium senile,Plumose Anemone,SSF,Carnivore,Suspension feeding,Zooplankton,Sessile,Medium,Radial / Globose
Mimachlamys varia,Variegated Scallop,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Modiolus modiolus,Northern Horse Mussel,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Semi-sessile,Medium,Bivalved
Morchellium argus,Colonial Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Cushion
Morchellium argus,Red Flake Ascidian,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Cushion
Multicrustacea,Typical Crustaceans,MPS,Omnivore,Predation / Grazing,Organic material,Mobile,Small,Cylindrical
Mya arenaria,Sand Gaper,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Myostaurida,Stalked Jellyfish,MPS,Carnivore,Predation,Crustaceans / Larvae / Plankton,Sessile,Medium,Radial  
Myoxocephalus scorpius,Shorthorn Sculpin,MPS,Carnivore,Predation,Small fish / Crustaceans,Mobile,Large,Pisciform
Mysidae,Opossom Shrimp,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Mytiloidea,True Mussels,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Semi-sessile,Medium,Bivalved
Mytilus,Black Mussels,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Semi-sessile,Medium,Bivalved
Mytilus edulis,Blue Mussel,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Semi-sessile,Medium,Bivalved
Myxilla incrustans,Rough Scallop Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Nassariinae,Marine Snails,MPS,Carnivore,Scavenging,Carrion / Detritus,Mobile,Small,Turbinate
Necora puber,Velvet Swimming Crab,MPS,Omnivore,Predation / Grazing,Brown algae / Molluscs,Mobile,Large,Globose
Nematoda,Nematodes,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Vermiform unsegmented
Nemertesia antennina,Sea Beard,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Aborescent
Neogastropoda,"Neogastropods, Whelks and Cone Shells",MPS,Carnivore,Predation,Bivalves,Sessile,Medium,Turbinate
Neoloricata,Neoloricate Chitons,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Articulate
Neomolgus,Marine Mites,MPS,Carnivore,Predation,Blood / Tissue,Mobile,Small,Cylindrical
Nereididae,Ragworms and Allies,MPS,Carnivore,Predation,Invertebrates / Carrion,Mobile,Large,Vermiform segmented
Nereidiformia,Ragworms and Allies,MPS,Carnivore,Predation,Invertebrates / Carrion,Mobile,Large,Vermiform segmented
Nereidinae,Ragworms and Allies,MPS,Carnivore,Predation,Invertebrates / Carrion,Mobile,Large,Vermiform segmented
Nerophis,Pipefishes,MPS,Carnivore,Predation,Copepods / Small crustaceans,Mobile,Large,Cylindrical
Nerophis lumbriciformis,Worm Pipefish,MPS,Carnivore,Predation,Copepods / Small crustaceans,Mobile,Large,Cylindrical
Notocomplana,Intertidal Flatworms,MPS,Carnivore,Predation,Small invertebrates,Mobile,Small,Lanceolate
Notoplana,Flatworms,MPS,Carnivore,Predation,Small invertebrates,Mobile,Small,Lanceolate
Nucella,Dog Whelks,MPS,Carnivore,Predation,Barnacles / Mussels,Mobile,Medium,Turbinate
Nucella lapillus,Atlantic Dogwhelk,MPS,Carnivore,Predation,Barnacles / Mussels,Mobile,Medium,Turbinate
Nudibranchia,Nudibranchs,MPS,Carnivore,Predation,Sponges / Hydroids / Bryozoans,Mobile,Medium,Vermiform unsegmented
Nudipleura,True and Side-gilled Sea Slugs,MPS,Carnivore,Predation,Sponges / Hydroids / Bryozoans,Mobile,Medium,Vermiform unsegmented
Nuuanuidae,Amphipods,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Nymphon gracile,Gracile Sea Spider,MPS,Carnivore,Predation,Invertebrates,Mobile,Small,Segmented
Obelia geniculata,Knotted Thread Hydroid,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Penicillate
Ocenebra,Sting Winkle,MPS,Carnivore,Predation,Bivalves / Tubicolous worms,Mobile,Medium,Turbinate
Ocenebra erinaceus,European Sting Winkle,MPS,Carnivore,Predation,Bivalves / Tubicolous worms,Mobile,Medium,Turbinate
Okenia nodosa,Angular Seaslug,MPS,Carnivore,Predation,Sea squirts,Mobile,Small,Vermiform unsegmented
Onchidoris bilamellata,Barnacle-eating Dorid,MPS,Carnivore,Predation,Barnacles  ,Mobile,Small,Vermiform unsegmented
Ophiactoidea,Brittle Stars,SSF,Omnivore,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Radial / Stellate
Ophiocomina nigra,Black Brittle-star,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Radial / Stellate
Ophiopholis aculeata,Daisy Brittle Stars,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Radial / Stellate
Ophiothrix fragilis,Common Brittle Stars,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Radial / Stellate
Ophiuroidea,Brittle Stars,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Radial / Stellate
Ophlitaspongia papilla,Red Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Ophlitaspongiinae,Microcionid Sponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Orchestia,Beach Hoppers,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Orchestia mediterranea,Mediterranean Beach Hopper,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Oscarella,Sea Sponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Flaccid
Oscarella lobularis,Flesh Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Flaccid
Oscarella nicolae,Marine Sponges ,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Flaccid
Osmundea,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Osmundea pinnatifida,Pepper Dulse,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Ostrea,Flat Oysters,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Bivalved
Ostrea edulis,Native Oyster,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Bivalved
Ostreidae,True Oysters,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Bivalved
Paguroidea,Hermit Crabs,MPS,Carnivore,Scavenging,Carrion,Mobile,Medium,Cylindrical
Pagurus,Hermit Crabs,MPS,Carnivore,Scavenging,Carrion,Mobile,Medium,Cylindrical
Pagurus bernhardus,Common Hermit Crab,MPS,Carnivore,Scavenging,Carrion,Mobile,Medium,Cylindrical
Palaemon,Glass Shrimps,MPS,Omnivore,Predation / Grazing,Detritus / Invertebrates / Algae,Mobile,Medium,Cylindrical
Palaemon affinis,Glass Shrimps,MPS,Omnivore,Predation / Grazing,Detritus / Invertebrates / Algae,Mobile,Medium,Cylindrical
Palaemon elegans,Rockpool Prawn,MPS,Omnivore,Predation / Grazing,Detritus / Invertebrates / Algae,Mobile,Medium,Cylindrical
Palaemon serratus,Common Prawn,MPS,Omnivore,Predation / Grazing,Detritus / Invertebrates / Algae,Mobile,Medium,Cylindrical
Palaemonidae,Palaemonid Shrimp,MPS,Omnivore,Predation / Grazing,Detritus / Invertebrates / Algae,Mobile,Medium,Cylindrical
Palio nothus,Sea Slug,MPS,Carnivore,Predation,Bryozoans,Mobile,Small ,Cylindrical
Palmaria,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Foliose
Palmaria palmata,Dulse,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Foliose
Pantopoda,Sea Spiders,MPS,Carnivore,Predation,Cnidarians / Sponges,Mobile,Small ,Cylindrical
Parablennius gattorugine,Tompot Blenny,MPS,Omnivore,Predation / Grazing,Algae / Invertebrates,Mobile,Large,Pisciform
Patella,Patella Limpets,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Conical
Patella depressa,Black-footed Limpet,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Conical
Patella pellucida,Blue-rayed Limpet,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Conical
Patella ulyssiponensis,China Limpet,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Conical
Patella vulgata,Common European Limpet,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Conical
Patellidae,Patellid Limpets,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Conical
Patellogastropoda,True Limpets,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Conical
Pawsonia saxicola,Sea Gherkin,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Vermiform segmented
Pecten maximus,Great Scallop,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Pectinidae,Scallops,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Pedinae,Scallops,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Pelvetia canaliculata,Channelled Wrack,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Peracarida,"Amphipods, Isopods, and Allies",DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Perforatus perforatus,Perforated Barnacle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Conical
Perinereis,Polychaete Worms,MPS,Omnivore,Predation / Grazing,Algae / Detritus / Microorganisms,Mobile,Large,Vermiform segmented
Perinereis cultrifera,Ragworm,MPS,Omnivore,Predation / Grazing,Algae / Detritus / Microorganisms,Mobile,Large,Vermiform segmented
Peringia ulvae,Laver Spire-shell,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Turbinate
Petricolaria pholadiformis,False Angelwing,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Peyssonnelia dubyi,Red Rock Crust,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Phaeophyceae,Brown Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Phasianellidae,Pheasant-shells,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Phlebobranchia,Sea Squirts,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Pholadidae,Piddocks and Angelwings,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Pholadinae,Piddocks and Angelwings,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Pholas dactylus,Common Piddock,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Pholis,Shanny,MPS,Carnivore,Predation,Molluscs / Crustaceans,Mobile,Large,Pisciform
Pholis gunnellus,Rock Gunnel,MPS,Carnivore,Predation,Molluscs / Crustaceans,Mobile,Large,Pisciform
Pholoe,Scale Worms,MPS,Carnivore,Predation,Polychaetes / Crustaceans,Mobile,Large,Vermiform segmented
Phorcus,Top Shells,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Conical
